VendorName,Dollars,Freight,TotalCost
SMOKY QUARTZ DISTILLERY LLC,69803.70999999999,342.65,70146.35999999999
SOUTHERN GLAZERS W&S OF NE ,40803.92,207.76,41011.68
SOUTHERN WINE & SPIRITS NE ,3699813.46,18808.83,3718622.29
STAR INDUSTRIES INC.       ,2452.29,12.44,2464.73
STARK BREWING COMPANY      ,25961.04,130.09,26091.13
STATE WINE & SPIRITS   ,1529682.04,8014.98,1537697.02
STE MICHELLE WINE ESTATES  ,3086650.7,15919.7,3102570.4000000004
STELLAR IMPORTING CO LLC   ,24560.08,119.23,24679.31
"STOLI GROUP,(USA) LLC      ",3666478.72,18544.49,3685023.2100000004
SURVILLE ENTERPRISES CORP  ,51325.77,263.32,51589.09
SWEET BABY VINEYARD        ,140577.9,703.64,141281.54
SWEETWATER FARM         ,34708.03,178.34,34886.369999999995
Serralles Usa LLC          ,168993.61,856.02,169849.62999999998
TAKARA SAKE USA INC        ,45289.34,232.99,45522.329999999994
TALL SHIP DISTILLERY LLC   ,48445.58,259.9,48705.48
TAMWORTH DISTILLING        ,41036.44,202.5,41238.94
THE IMPORTED GRAPE LLC     ,16093.77,80.03,16173.800000000001
THE PIERPONT GROUP LLC     ,5713.1900000000005,27.98,5741.17
TREASURY WINE ESTATES      ,2978686.4,14836.57,2993522.9699999997
TRINCHERO FAMILY ESTATES   ,2252211.31,11595.97,2263807.2800000003
TRUETT HURST               ,236.64,1.25,237.89
TY KU LLC                  ,38921.47,198.94,39120.41
ULTRA BEVERAGE COMPANY LLP ,13210613.93,68054.7,13278668.629999999
UNCORKED       ,2966.31,15.26,2981.57
VINEDREA WINES LLC         ,4657.6,24.53,4682.13
VINEXTRA INC               ,102639.51000000001,524.9399999999999,103164.45000000001
VINEYARD BRANDS INC        ,1196162.81,6015.86,1202178.6700000002
VINEYARD BRANDS LLC        ,10951.51,54.23,11005.74
VINILANDIA USA             ,548855.37,2802.64,551658.01
VRANKEN AMERICA            ,208330.15,1048.97,209379.12
WALPOLE MTN VIEW WINERY    ,9292.31,46.74,9339.05
WEIN BAUER INC             ,43517.0,222.23,43739.23
WESTERN SPIRITS BEVERAGE CO,361249.21,1933.19,363182.4
WILLIAM GRANT & SONS INC   ,5960744.35,30234.420000000002,5990978.77
WINE GROUP INC             ,5258636.79,27100.41,5285737.2
ZORVINO VINEYARDS          ,86122.71,448.68,86571.39
