name,Location,Room_Type,Bed,Price,tax,Reviews,link
Palette - Hotel Ocean Breeze,Bhopal,Deluxe Triple Room,1 king bed,"₹ 1,691",+₹ 220 taxes and fees,Scored 8.0,https://www.booking.comhttps://www.booking.com/hotel/in/ocean-breeze-bhopal.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=370&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394853&all_sr_blocks=1013483502_380861980_1_2_0&highlighted_blocks=1013483502_380861980_1_2_0&matching_block_id=1013483502_380861980_1_2_0&sr_pri_blocks=1013483502_380861980_1_2_0__169107&from=searchresults#hotelTmpl
"Kumaran Kudil - New Family Home Stay VL Bodinayakkanur, Theni",Bodināyakkanūr,Standard Double Room,1 queen bed,"₹ 1,150",+₹ 138 taxes and fees,Scored 7.8,https://www.booking.comhttps://www.booking.com/hotel/in/kumaran-kudil.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=371&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394853&all_sr_blocks=662835603_271765662_1_42_0&highlighted_blocks=662835603_271765662_1_42_0&matching_block_id=662835603_271765662_1_42_0&sr_pri_blocks=662835603_271765662_1_42_0__115000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Courtyard by Marriott Tiruchirappalli,Tiruchirappalli,King Room with City View,1 king bed,"₹ 7,749","+₹ 1,395 taxes and fees",Scored 8.8,https://www.booking.comhttps://www.booking.com/hotel/in/sangam-tiruchirapalli.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=372&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394853&all_sr_blocks=36064106_363838699_1_2_0&highlighted_blocks=36064106_363838699_1_2_0&matching_block_id=36064106_363838699_1_2_0&sr_pri_blocks=36064106_363838699_1_2_0__774900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Radisson Blu Hotel, Greater Noida",Greater Noida,Superior Double or Twin Room,Multiple bed types,"₹ 4,999",+₹ 600 taxes and fees,Scored 7.6,https://www.booking.comhttps://www.booking.com/hotel/in/radisson-blu-greater-noida.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=373&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394853&all_sr_blocks=41981401_253817647_2_42_0&highlighted_blocks=41981401_253817647_2_42_0&matching_block_id=41981401_253817647_2_42_0&sr_pri_blocks=41981401_253817647_2_42_0__499900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Calangute Ocean Wave,"Calangute Beach, Baga",Deluxe Room,1 full bed,"₹ 8,000","+₹ 1,440 taxes and fees",Scored 8.4,https://www.booking.comhttps://www.booking.com/hotel/in/baga-waterfront.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=374&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394853&all_sr_blocks=787421905_385009833_3_0_0&highlighted_blocks=787421905_385009833_3_0_0&matching_block_id=787421905_385009833_3_0_0&sr_pri_blocks=787421905_385009833_3_0_0__800000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Edgestay,Mudigere,Deluxe Family Room,2 twin beds,"₹ 3,038",+₹ 364 taxes and fees,Scored 8.6,https://www.booking.comhttps://www.booking.com/hotel/in/the-edge-stay-mudigere.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=375&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394853&all_sr_blocks=332799701_115798519_1_9_0&highlighted_blocks=332799701_115798519_1_9_0&matching_block_id=332799701_115798519_1_9_0&sr_pri_blocks=332799701_115798519_1_9_0__303750&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Astor - All Suites Hotel Candolim Goa,Candolim,Junior Suite - Twin Bed,Private suite2 twin beds,"₹ 6,999",+₹ 840 taxes and fees,Scored 9.4,https://www.booking.comhttps://www.booking.com/hotel/in/the-astor-goa.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=376&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=1090521502_381946735_2_1_0&highlighted_blocks=1090521502_381946735_2_1_0&matching_block_id=1090521502_381946735_2_1_0&sr_pri_blocks=1090521502_381946735_2_1_0__699930&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Saffron Wayanad,Sultan Bathery,Standard Double Room,"2 beds (1 twin, 1 queen)","₹ 4,687",+₹ 562 taxes and fees,Scored 8.1,https://www.booking.comhttps://www.booking.com/hotel/in/saffron-wayanad.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=377&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=989352303_379687709_2_2_0&highlighted_blocks=989352303_379687709_2_2_0&matching_block_id=989352303_379687709_2_2_0&sr_pri_blocks=989352303_379687709_2_2_0__468720&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
OYO Hotel SS Residency,Punalūr,Standard Double Room,1 queen bed,₹ 733,+₹ 105 taxes and fees,Scored 7.1,https://www.booking.comhttps://www.booking.com/hotel/in/spot-on-80878-ss-residency.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=378&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=962983402_375720557_1_0_0&highlighted_blocks=962983402_375720557_1_0_0&matching_block_id=962983402_375720557_1_0_0&sr_pri_blocks=962983402_375720557_1_0_0__73304&from=searchresults#hotelTmpl
The President Hotel,Hubli,Luxury Double Room,1 full bed,"₹ 4,800",+₹ 576 taxes and fees,Scored 8.5,https://www.booking.comhttps://www.booking.com/hotel/in/the-president-hubli1.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=379&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=143809502_285355235_1_1_0&highlighted_blocks=143809502_285355235_1_1_0&matching_block_id=143809502_285355235_1_1_0&sr_pri_blocks=143809502_285355235_1_1_0__480000&from=searchresults#hotelTmpl
Hotel Bhartia- Couple Friendly Stay,"Paharganj, New Delhi",Double Room,1 full bed,"₹ 1,604",+₹ 192 taxes and fees,Scored 7.5,https://www.booking.comhttps://www.booking.com/hotel/in/bhartia-new-delhi-railway-station-new-delhi1.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=380&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=1160673401_391824124_2_0_0&highlighted_blocks=1160673401_391824124_2_0_0&matching_block_id=1160673401_391824124_2_0_0&sr_pri_blocks=1160673401_391824124_2_0_0__160400&from=searchresults#hotelTmpl
Visthara inn - Comfort Stay,Krishnagiri,Deluxe Double Room,1 king bed,"₹ 4,199",+₹ 504 taxes and fees,Scored 7.2,https://www.booking.comhttps://www.booking.com/hotel/in/visthara-inn.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=381&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=336445501_116210121_1_0_0&highlighted_blocks=336445501_116210121_1_0_0&matching_block_id=336445501_116210121_1_0_0&sr_pri_blocks=336445501_116210121_1_0_0__419930&from=searchresults#hotelTmpl
Treebo Trend The Blue Roof,Kolshet,Deluxe Double Room,1 queen bed,"₹ 3,694",+₹ 455 taxes and fees,Scored 7.3,https://www.booking.comhttps://www.booking.com/hotel/in/oyo-23137-blue-roof-mumbai123456.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=382&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=430966407_384926413_1_1_0&highlighted_blocks=430966407_384926413_1_1_0&matching_block_id=430966407_384926413_1_1_0&sr_pri_blocks=430966407_384926413_1_1_0__369351&from=searchresults#hotelTmpl
Sunday Hotel Chandigarh Zirakpur,Zirakpur,Classic Triple Room,1 king bed,"₹ 3,378",+₹ 448 taxes and fees,Scored 8.5,https://www.booking.comhttps://www.booking.com/hotel/in/aloft-chandigarh-zirakpur.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=383&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=47319910_86621769_2_42_0&highlighted_blocks=47319910_86621769_2_42_0&matching_block_id=47319910_86621769_2_42_0&sr_pri_blocks=47319910_86621769_2_42_0__337837&from=searchresults#hotelTmpl
"Hotel Shri Anand Dham, Nathdwara - 125 Meters away from the temple",Nāthdwāra,Deluxe Room,1 full bed,"₹ 3,009",+₹ 361 taxes and fees,Scored 8.1,https://www.booking.comhttps://www.booking.com/hotel/in/shri-anand-dham-nathdwara.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=384&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=792482902_339030563_2_0_0&highlighted_blocks=792482902_339030563_2_0_0&matching_block_id=792482902_339030563_2_0_0&sr_pri_blocks=792482902_339030563_2_0_0__300930&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"The Fern Gir Forest Resort, Sasan Gir - A Fern Crown Collection Resort",Sasan Gir,Winter Green Cottage,Tent1 queen bed,"₹ 13,110","+₹ 2,360 taxes and fees",Scored 8.7,https://www.booking.comhttps://www.booking.com/hotel/in/fern-gir-forest-resort.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=385&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=35186202_326835091_2_41_0&highlighted_blocks=35186202_326835091_2_41_0&matching_block_id=35186202_326835091_2_41_0&sr_pri_blocks=35186202_326835091_2_41_0__1311034&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Radisson Blu Towers Kaushambi Delhi NCR,Ghaziabad,"Day Use Room (Night stay not allowed, Extra charges applicable) (Mandatory checkout at 5pm)",1 full bed,"₹ 4,049",+₹ 486 taxes and fees,Scored 7.4,https://www.booking.comhttps://www.booking.com/hotel/in/park-plaza-kaushambi-delhi-ncr.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=386&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=586995420_246226164_2_42_0&highlighted_blocks=586995420_246226164_2_42_0&matching_block_id=586995420_246226164_2_42_0&sr_pri_blocks=586995420_246226164_2_42_0__404919&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Saltstayz Malcha - Chanakyapuri,"Chanakyapuri, New Delhi",Superior King Room,1 queen bed,"₹ 3,780",+₹ 454 taxes and fees,Scored 8.0,https://www.booking.comhttps://www.booking.com/hotel/in/saltstayz-malcha-chanakyapuri-new-delhi.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=387&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=1145805501_387415201_2_1_0&highlighted_blocks=1145805501_387415201_2_1_0&matching_block_id=1145805501_387415201_2_1_0&sr_pri_blocks=1145805501_387415201_2_1_0__378000&from=searchresults#hotelTmpl
Hotel Nimisha Jail Rd,Sītāpur,Classic Triple Room,1 queen bed,"₹ 1,401",+₹ 194 taxes and fees,Scored 6.4,https://www.booking.comhttps://www.booking.com/hotel/in/collection-o-64556-nimisha-jail-rd.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=388&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=670816702_375716055_1_42_0&highlighted_blocks=670816702_375716055_1_42_0&matching_block_id=670816702_375716055_1_42_0&sr_pri_blocks=670816702_375716055_1_42_0__140089&from=searchresults#hotelTmpl
OYO Hotel Kshounish Residency,Māldah,Classic Triple Room,1 king bed,₹ 919,+₹ 123 taxes and fees,Scored 3.6,https://www.booking.comhttps://www.booking.com/hotel/in/oyo-27701-kshounish-residency-malda12345678910.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=389&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=473172502_363850337_1_42_0&highlighted_blocks=473172502_363850337_1_42_0&matching_block_id=473172502_363850337_1_42_0&sr_pri_blocks=473172502_363850337_1_42_0__91875&from=searchresults#hotelTmpl
Hotel Siddartha Elite,Gunadala,Standard Double Room,1 queen bed,"₹ 1,057",+₹ 140 taxes and fees,Scored 7.0,https://www.booking.comhttps://www.booking.com/hotel/in/capital-o-80103-siddartha-elite.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=390&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=720269102_308964196_1_42_0&highlighted_blocks=720269102_308964196_1_42_0&matching_block_id=720269102_308964196_1_42_0&sr_pri_blocks=720269102_308964196_1_42_0__105714&from=searchresults#hotelTmpl
Hotel Pratham,Solapur,Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 36m²2 beds (1 full, 1 sofa bed)","₹ 4,800",+₹ 576 taxes and fees,Scored 7.3,https://www.booking.comhttps://www.booking.com/hotel/in/pratham.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=391&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=680841403_359481587_2_0_0&highlighted_blocks=680841403_359481587_2_0_0&matching_block_id=680841403_359481587_2_0_0&sr_pri_blocks=680841403_359481587_2_0_0__480000&from=searchresults#hotelTmpl
Mizzle Exotica Lonavala,Lonavala,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 46m²2 beds (1 full, 1 sofa bed)","₹ 4,200",+₹ 504 taxes and fees,Scored 8.1,https://www.booking.comhttps://www.booking.com/hotel/in/mizzle-exotica.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=392&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=754918701_332223000_4_2_0&highlighted_blocks=754918701_332223000_4_2_0&matching_block_id=754918701_332223000_4_2_0&sr_pri_blocks=754918701_332223000_4_2_0__420000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Radisson Blu Resort & Spa Alibaug,Alibaug,Deluxe Room,1 full bed,"₹ 16,800","+₹ 3,024 taxes and fees",Scored 8.5,https://www.booking.comhttps://www.booking.com/hotel/in/radisson-blu-resort-and-spa-alibaug.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=393&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394856&all_sr_blocks=63346505_94498577_1_41_0&highlighted_blocks=63346505_94498577_1_41_0&matching_block_id=63346505_94498577_1_41_0&sr_pri_blocks=63346505_94498577_1_41_0__1680000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
