name,Location,Room_Type,Bed,Price,tax,Reviews,link
Hotel Asrani International,Secunderabad,Deluxe Double Room,1 queen bed,"₹ 3,491",+₹ 419 taxes and fees,Scored 8.9,https://www.booking.comhttps://www.booking.com/hotel/in/asrani.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=713843802_298396651_1_2_0&highlighted_blocks=713843802_298396651_1_2_0&matching_block_id=713843802_298396651_1_2_0&sr_pri_blocks=713843802_298396651_1_2_0__349083&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
sun guest house,Ujjain,Deluxe Double Room (2 Adults + 1 Child),1 full bed,"₹ 1,620",+₹ 194 taxes and fees,Scored 7.9,https://www.booking.comhttps://www.booking.com/hotel/in/sun-guest-house-ujjain4.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1036502101_385961152_1_0_0&highlighted_blocks=1036502101_385961152_1_0_0&matching_block_id=1036502101_385961152_1_0_0&sr_pri_blocks=1036502101_385961152_1_0_0__162000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Pradhan Homestay Mirik - Homestay beside Mirik Lake,Mirik,Double or Twin Room with Lake View,"7 beds (1 twin, 5 fulls, 1 queen)",₹ 851,+₹ 132 taxes and fees,Scored 9.3,https://www.booking.comhttps://www.booking.com/hotel/in/pradhan-homestay.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=898586801_360538760_1_42_0&highlighted_blocks=898586801_360538760_1_42_0&matching_block_id=898586801_360538760_1_42_0&sr_pri_blocks=898586801_360538760_1_42_0__85050&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Shri Krishna Palace,Ujjain,Deluxe Double Room,1 full bed,"₹ 1,280",+₹ 154 taxes and fees,Scored 7.1,https://www.booking.comhttps://www.booking.com/hotel/in/shri-krishna-palace-ujjain.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1106327501_383433388_1_0_0&highlighted_blocks=1106327501_383433388_1_0_0&matching_block_id=1106327501_383433388_1_0_0&sr_pri_blocks=1106327501_383433388_1_0_0__128000&from=searchresults#hotelTmpl
Kalinga's - Majestic Mountain View,Manāli,Deluxe Room,1 full bed,"₹ 2,020",+₹ 242 taxes and fees,Scored 7.7,https://www.booking.comhttps://www.booking.com/hotel/in/tanvi-premium-and-restaurant.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1142221203_387060723_2_42_0&highlighted_blocks=1142221203_387060723_2_42_0&matching_block_id=1142221203_387060723_2_42_0&sr_pri_blocks=1142221203_387060723_2_42_0__202000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
WoodPacker Hostel Auroville Pondicherry,Auroville,Bed in 6-Bed Female Dormitory Room,Bed in dorm1 bunk bed,₹ 450,+₹ 54 taxes and fees,Scored 8.8,https://www.booking.comhttps://www.booking.com/hotel/in/woodpacker.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=923367404_364072935_1_40_0&highlighted_blocks=923367404_364072935_1_40_0&matching_block_id=923367404_364072935_1_40_0&sr_pri_blocks=923367404_364072935_1_40_0__45000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Staynest gangtok 300 mtr from MALL ROAD,Gangtok,Deluxe Double Room,1 king bed,"₹ 25,649","+₹ 4,617 taxes and fees",Scored 9.5,https://www.booking.comhttps://www.booking.com/hotel/in/tara-palace-resort-and-spa.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1083407601_381257206_1_42_0&highlighted_blocks=1083407601_381257206_1_42_0&matching_block_id=1083407601_381257206_1_42_0&sr_pri_blocks=1083407601_381257206_1_42_0__2564949&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Woodpecker Inn Jibhi,Jibhi,Bed in 4-Bed Female Dormitory Room,Bed in dorm1 bunk bed,₹ 625,+₹ 75 taxes and fees,Scored 9.7,https://www.booking.comhttps://www.booking.com/hotel/in/the-woodpecker-inn-jibhi.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1134402104_386106310_1_2_0&highlighted_blocks=1134402104_386106310_1_2_0&matching_block_id=1134402104_386106310_1_2_0&sr_pri_blocks=1134402104_386106310_1_2_0__62500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nature Hunt Eco Camp,Kāziranga,King Room with Garden View,1 king bed,"₹ 1,914",+₹ 230 taxes and fees,Scored 8.8,https://www.booking.comhttps://www.booking.com/hotel/in/nature-hunt-eco-camp.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=276119606_106686465_2_2_0&highlighted_blocks=276119606_106686465_2_2_0&matching_block_id=276119606_106686465_2_2_0&sr_pri_blocks=276119606_106686465_2_2_0__191400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ashraya Boutique Homestay,Rongli,Deluxe Double Room with Bath,1 full bed,"₹ 1,425",+₹ 171 taxes and fees,Scored 9.3,https://www.booking.comhttps://www.booking.com/hotel/in/ashraya-bed-amp-breakfast.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=572862401_220436608_1_42_0&highlighted_blocks=572862401_220436608_1_42_0&matching_block_id=572862401_220436608_1_42_0&sr_pri_blocks=572862401_220436608_1_42_0__142500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
